RecipeItem/0/_ItemName,RecipeItem/1/_ItemName,RecipeItem/2/_ItemName,RecipeItem/3/_ItemName,RecipeItem/4/_ItemName,RecipeItem/5/_ItemName,RecipeItem/6/_ItemName,RecipeItem/7/_ItemName,RecipeItem/8/_ItemName,RecipeItem/9/_ItemName,RecipeItem/9/_itemQuantityText,memo/__cdata,_createDate,_description,_modifyDate,_nutrientRefNum,_primaryKey,_recordType,_useStaticIngrStmt,_userCode,_version,RecipeItem/10/_ItemName,RecipeItem/11/_ItemName,RecipeItem/12/_ItemName,RecipeItem/12/_itemQuantityText,RecipeItem/13/_ItemName,RecipeItem/14/_ItemName,RecipeItem/15/_ItemName,RecipeItem/15/_itemQuantityText,RecipeItem/16/_ItemName,RecipeItem/16/_itemQuantityText,RecipeItem/17/_ItemName,RecipeItem/18/_ItemName,RecipeItem/19/_ItemName,RecipeItem/20/_ItemName
NOTE: You may substitute cashews for peanuts, or bamboo shoots for the water chestnuts.



METHOD:



STEP 1: To Make Marinade: Combine 1 tablespoon wine, 1 tablespoon soy sauce, 1 tablespoon oil and 1 tablespoon cornstarch dissolved in 1 tablespoon water and mix together. Place chicken pieces (cut into chunks) in a glass dish or bowl and add marinade. Toss to coat. Cover dish and place in refrigerator for about 30 minutes.



STEP 2: To Make Sauce: In a small bowl combine 1 tablespoon wine, 1 tablespoon soy sauce, 1 tablespoon oil, 1 tablespoon cornstarch dissolved in 1 tablespoon water, 1 oz hot chili paste, vinegar and sugar. Mix together and add chopped green onion, chopped garlic, water chestnuts and peanuts. In a medium skillet, heat sauce slowly until aromatic.



STEP 3: Meanwhile, remove chicken from marinade and saute in a large skillet until meat is white and juices run clear. When sauce is aromatic, added sauteed chicken to it and let simmer together until sauce thickens.



NOTE: The nutrition data for this recipe includes information for the full amount of the marinade ingredients. Depending on marinating time, ingredients, cooking method, etc., the actual amount of the marinade consumed will vary.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Arlena",8/2/05,"Chicken, kung pao, Chinese",3/7/06,134147982,134147982,insert,FALSE,,2.2.0,Chinese Waterchestnuts Whole w/Liq-Cnd,Dry Roasted Peanuts-Salted,,,,,,,,,,,,

Olive Salad/Cooking Oil,White Onion Cooked Drained Whole-Med,Fresh Garlic Cloves,Sweet Green Bell Peppers Chpd Ckd-Drnd,Fresh Dill Weed Sprigs,Table Salt,Ground Allspice AST,Black Pepper,Enrich Long Grain White Rice-Ckd,Lamb Ground 20% Fat-Broiled,,"PREP TIME: 15 Min

COOK TIME: 1 Hr

YIELDS: 4 to 6 Servings



NOTE: 6 Servings used for nutritional analysis.



METHOD:



STEP 1: Preheat oven to 375 degrees F (190 degrees C).



STEP 2: Heat oil in a medium skillet over medium heat, add 1 chopped onion and cook for four minutes until soft. Stir in minced garlic and cook one minute.



STEP 3: Slice tops off 6 whole peppers and remove seeds. Stand peppers upright in a 9x12 inch baking dish.



STEP 4: In a large bowl, combine onion mixture, chopped dill, salt, allspice and pepper. Mix in rice and lamb, fold in feta cheese. Stuff peppers with mixture.



STEP 5: Mix tomato sauce with water, lemon juice and sugar. Pour half over peppers, and half over bottom of dish. Cover with foil.



STEP 6: Bake in preheated oven for 45 minutes. Uncover and continue baking 15 minutes, basting occasionally with sauce, until a meat thermometer inserted in center of filling reads 160 degrees F (70 degrees C).



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Taseia

",8/2/05,"Dish, lamb feta peppers, Greek",8/30/05,84227140,84227140,insert,FALSE,,2.2.0,Feta Cheese-Crumbled,Tomato Sauce-Cnd,Water,,Fresh Lemon Juice,White Granulated Sugar,,,,,,,,

Olive Salad/Cooking Oil,WhiteOnion Cooked Drained Whole-Lrg,Celery Stalk Cooked-Drnd,"Lamb Shoulder Arm Choice 1/4"" Trim-Brsd",Tomato Sauce-Cnd,Water,Snap Green Beans Ckd-Drained,Fresh Parsley-Chpd,Dried Spearmint,Dried Dill Weed,,"PREP TIME: 30 Min

COOK TIME: 1 Hr 30 Min

YIELDS: 12 Servings



NOTE: This recipe is great with either fresh or frozen green beans. If you use frozen use the French style beans.



METHOD:



STEP 1: Heat oil in a large pot over medium heat. Saute chopped onion and celery until golden. Stir in lamb (cut into 2 inch pieces) and cook until evenly brown. Stir in tomato sauce and water. Reduce heat, and simmer for about 1 hour.



STEP 2: Stir in green beans. Season with parsley, mint, dill, cinnamon, sugar and salt and pepper to taste. Continue cooking until beans are tender.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Kathy W.",8/2/05,"Stew, lamb w/green beans, Greek",8/30/05,123511352,123511352,insert,FALSE,,2.2.0,Ground Cinnamon,White Granulated Sugar,Table Salt,,Black Pepper,,,,,,,,,

Enrich Lasagna Noodles-Dry APC-AB,White Onion Cooked Drained Whole-Med,Canola Oil,Fresh Garlic Cloves,Oregano-Ground,Ground Basil,Crushed Tomatoes-Cnd,Stewed Tomatoes w/Liquid-Cnd,Ground Cinnamon,Ricotta Cheese-Part Skim,,"PREP TIME: 1 Hr

COOK TIME: 2 Hr

YIELDS: 15 Servings



NOTE: Vegetable lasagna with all the trimmings.



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C).



STEP 2: Saute 1 chopped onion and 1 bay leaf in 4 tablespoons oil until onion is tender. Add chopped garlic, oregano, and 2 teaspoons basil; cook and stir for 2 more minutes. Add tomatoes. Cook for 1 hour. Stir in cinnamon and set pan aside.



STEP 3: Bring a large pot of salted water to boil, add lasagna noodles and bring water to boil again. Cook until noodles are al dente. Drain well.



STEP 4: Mix together ricotta, beaten eggs, 1/2 cup Parmesan cheese, and 2 teaspoons basil.



STEP 5: Saute 1 sliced onion and  sliced muchrooms in 2 tablespoons oil until tender. Add chopped spinach and two sliced zucchini to the pot. Cover pot, and cook until spinach is wilted.



STEP 6: Spread 1/2 cup of the tomato mixture into a 9x13 inch baking pan. Place 1 layer of noodles on top of the tomato sauce; spread all of the ricotta mixture onto the noodles; place another layer of noodles atop the ricotta mixture; pour 2 cups tomato sauce onto the noodles; arrange all of the sauteed vegetables on top of the sauce; arrange another layer of noodles; pour the remaining tomato sauce over the final layer of noodles and top with mozzarella cheese and 1 cup Parmesan cheese.



STEP 7: Bake the lasagna for 45 minutes to 1 hour. Remove the lasagna from the oven and let it cool 10 minutes before serving.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by ",8/2/05,"Dish, lasagna, Italian",3/8/06,209971164,209971164,insert,FALSE,,2.2.0,Whole Eggs Raw-Lrg,Parmesan Cheese-Grated,Mushroom Pieces Cooked-Drnd,,Spinach Cooked-Drnd,Zucchini Squash Slices w/Skin Ckd-Drnd,Mozzarella Cheese Whole Milk-Shredded,,,,,,,

Sauerkraut Canned-w/Liquid,White Onion Cooked Drained Whole-Med,Enrich Rotini Noodles-Dry APC-AB,Mushroom Pieces Cooked-Drnd,Salted Butter,Cream Of Mushroom Soup Cond-Cnd CAM-CS,,,,,,"PREP TIME: 10 Min

COOK TIME: 1 Hr 20 Min

YIELDS: 8 Servings



NOTE: If you are making this ahead and are going to have to reheat it in the oven you may have to add a little water. If cold, bake at 350 dregees for 1 1/2 to 2 hours.



METHOD;



STEP 1: Place the sauerkraut and chopped onion in a large skillet over medium-low heat with enough water to cover. Simmer 1 hour, or until most of the water has cooked off.



STEP 2: Bring a large pot of lightly salted water to a boil. Add rotini and cook for 8 to 10 minutes or until al dente; drain.



STEP 3: In a medium skillet over medium heat, saute the chopped mushrooms in 2 tablespoons of the butter for about 5 minutes.



STEP 4: Stir the remaining butter, cooked pasta, and cream of mushroom soup into the sauerkraut mixture. Cook and stir 15 minutes, or until heated through.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Bea",8/2/05,"Dish, pierogi, Polish",8/30/05,639656416,639656416,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Beef Ground Hamburger 15%Fat-Pan Browned,WhiteOnion Cooked Drained Whole-Lrg,Fresh Jalapeno Peppers,Curry Powder,Chicken Broth-rts Can CAM-HR,Tomato Sauce-Cnd,Mature Green Gram Beans-Ckd,Basmati Rice-Dry FFS-EG,Canola Oil,,,"PREP TIME: 20 Min

COOK TIME: 1 Hr  10 Min

YIELDS: 6 Servings



METHOD:



STEP 1: In a large non-stick pot over high heat, brown 1 lb raw ground beef until no pink shows. Stir in chopped onion and finely chopped jalapeno, and cook until tender. Season with curry powder. Stir in chicken broth and tomato sauce. Bring to a boil, and stir in green beans. Cook for 15 minutes, or until beans are tender.



STEP 2: Stir in rice, and cover pot. Reduce heat to medium, and cook for 10 to 15 minutes, or until much of the liquid is absorbed. (Be careful not to overcook rice at this point or the dish will be mushy; the rice should be firm.) Remove entire contents to another container, and return pot to the stove.



STEP 3: Heat oil in the bottom of pot over medium heat (make sure it is a non-stick pot). Dump rice mixture back into pot. Wrap a clean dish towel around the inside of the pot's lid (the ends of the dish towel will be folded over the edges on the top of the lid), and put the lid on the pot. Cook for 35 minutes, without uncovering or stirring. Remove lid and place a tray on top of the pot, then carefully flip it over. The rice will hold the shape of the pot with a nice crust on top call 'tah digh.'



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Trina

",8/2/05,"Dish, lubia polo, Persian",8/8/05,8517936,8517936,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Ground Pork-Ckd,Sherry Cooking Wine BGF-RE,Corn Starch,Black Beans Fermented-Szechwan INTL,Hot Chili Sauce f/Mature Red Peppers,Dried Ground Cayenne Pepper,Tamari Soy Sauce,Fresh Garlic Cloves,Fresh Ginger Root,Firm Tofu w/Calcium Sulfate-Block,,"PREP TIME: 15 Min

COOK TIME: 10 Min

YIELDS: 4 Servings



METHOD:



STEP 1: In a small bowl, combine ground pork, sherry, and 1 teaspoon cornstarch; set aside.



STEP 2: In a separate bowl, combine black beans (rinsed and mashed), 1/2 tbsp chile paste with garlic (chili sauce used in recipe), cayenne pepper, soy sauce, crushed garlic, and minced ginger; set aside.



STEP 3: Heat a large skillet over medium heat. Cook pork until evenly browned. Stir in black bean mixture, tofu (drained and cut into cubes), and peas. Pour in chicken broth, and bring to a boil. Stir in cornstarch dissolved in 1 tablespoon water, and cook until thickened.



NOTE: This dish is best served with steamed white rice. You can control the spice by varying the cayenne.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Linda Johnson",8/2/05,"Dish, ma po tofu, Chinese",2/3/09,602879160,602879160,insert,FALSE,,2.2.0,Green Peas Fzn-10oz Pkg,Chicken Broth-rts Can,Corn Starch,,Municipal Tap Water,,,,,,,,,

Fresh Shallots-Chpd,Fresh Garlic Cloves,Dried Arbol Chile Pepper FSP,Fresh Ginger Root Slices,Fresh Lemon Grass,Coriander Seed,Fennel Seed,Cumin Seed,Nutmeg-Ground,Canola Oil,,"PREP TIME: 30 Min

COOK TIME: 1 Hr 30 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Heat the coconut in a dry wok, stirring continuously until golden brown. Set aside to cool.



STEP 2: Using a blender or a food processor, blend the shallots, garlic, 15 dried red chilies, ginger, and 5 stalks or about 4 tablespoons minced lemon grass to a thick paste.



STEP 3: Grind the coriander, fennel, cumin and nutmeg.



STEP 4: Using the wok, fry the shallot paste in a little oil for a few minutes. Add the ground coriander, fennel, cumin and nutmeg; cook for 3 to 4 minutes, stirring continuously. Add beef (cut into 1 inch cubes); cook over a medium heat for a further 3 to 4 minutes, or until meat is browned.



STEP 5: Stir in sugar, coconut, 5 cloves, 1 cinnamon stick, coconut milk, and water. Bring to a boil, lower heat, and simmer until most of the liquid has gone and the meat is tender (about 1 hour). Season with salt to taste.



NOTE: Serve over rice.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Trevor Hobson",8/3/05,"Beef, rendang, Malaysian",3/7/06,69259008,69259008,insert,FALSE,,2.2.0,Beef Stew Meat-Ckd SVY,White Granulated Sugar,Fresh Coconut-Shredded,,Coconut Milk-Canned,Water,Table Salt,,,,,,,

Chicken Broil/Fry Whole w/Skin-Stwd,White Onion Cooked Drained Whole-Med,Ground Allspice-Dried,Ground Cardamom,Enrich Long Grain White Rice-Ckd,Ground Allspice-Dried,Canola Oil,Baked Potato w/Skin Unsalted-Med,"Fresh Cauliflower Large Head-6"" to 7""","Fresh Red Tomatoes YearRndAvg Med-2 3/5""",,"PREP TIME: 1 Hr

COOK TIME: 2 Hr

YIELDS: 6 Servings



NOTE: Serve with plain yogurt and a salad to mix with the rice dish.



METHOD:



STEP 1: Place chicken (cut into pieces) in a large pot with 6 cups water, quartered onion, 2 tablespoons allspice, ground cardamon, 3 whole cardamon seeds, 4 whole cloves and 3 bay leaves. Bring to a boil, and cook until chicken is tender, about 40 minutes. Remove chicken, strain and reserve broth.



STEP 2: Rinse and drain the rice. Then soak the rice in water while waiting for the chicken to cook. When the chicken is almost done, drain the water off, and stir in 1 1/2 tablespoons of allspice.



STEP 3: Heat the oil in a skillet over medium-high heat. Fry the sliced potato rounds and cauliflower (separated into florets) in the hot oil until browned. They do not need to fully cook.



STEP 4: In a separate pot, layer fried potatoes on the bottom. This is done so that the rice will not stick to the bottom of the pan. Add the cauliflower and tomatoes, and sprinkle a handful of rice over the vegetables. Remove the bones from the chicken and place the chicken in the pot. Cover with the rest of the rice. Pour in the reserved broth until it reaches a level about 1/2 inch above the level of the rice. Cover the pot, and cook over medium-low heat for 1 hour, until rice is tender.



STEP 5: When the liquid has absorbed, have a large round tray ready. Uncover the pot, and place the tray over the top. Invert so that the pan is upside down on top of the tray. Let stand for 5 minutes like this, then slowly remove the pot to let the food fall onto the tray.



NOTE: You may substitute 1 large eggplant for cauliflower or use both. Slice eggplant in rounds, cut larger pieces in half. If using eggplant with the cauliflower, add it to the pot along with the cauliflower.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Imankay",8/3/05,"Chicken, malooba, Arabic",3/7/06,396024080,396024080,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Ricotta Cheese-Part Skim,Mozzarella Cheese LoMoist PartSkim-Shred,Parmesan Cheese-Grated,Whole Eggs Raw-Lrg,Dried Parsley,Table Salt,Black Pepper,Spaghetti/Marinara Sauce-rts,Enrich Manicotti Pasta-Dry APC-AB,,,"PREP TIME: 30 Min

COOK TIME: 45 Min

YIELDS: 4 Servings



NOTE: Serve with a crispy salad and garlic bread.



METHOD:



STEP 1: Cook manicotti in boiling water until done. Drain, and rinse with cold water.



STEP 2: Preheat oven to 350 degree F (175 degrees C).



STEP 3: In a large bowl, combine ricotta, mozzarella, and 1/2 cup Parmesan, eggs, parsley, and salt and pepper. Mix well.



STEP 4: Pour 1/2 cup sauce into a 11x17 inch baking dish. Fill each manicotti shell with 3 tablespoons cheese mixture, and arrange over sauce. Pour remaining sauce over top, and sprinkle with remaining Parmesan cheese.



STEP 5: Bake 45 minutes, or until bubbly.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Anny",8/3/05,"Dish, manicotti, Italian",8/8/05,375993534,375993534,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Peeled Sweetpotato Cooked-Med,Eggplant Cubes Cooked-Drnd,Sweet Green Bell Peppers Chpd Ckd-Drnd,Sweet Red Bell Peppers Chpd Ckd-Drnd,Whole Carrots Cooked-Drnd,White Onion Cooked Drained Whole-Med,Olive Salad/Cooking Oil,Fresh Garlic Cloves,Ground Turmeric,Curry Powder,,"YIELDS: 6 Servings



NOTE: If you have carrot-ginger juice available try using it in place of the orange juice.



METHOD:



STEP 1: In a large Dutch oven place cubed sweet potato, one cubed eggplant, chopped peppers (one green and one red), carrots and onions, and three tablespoons oil. Saute over medium heat for 5 minutes.



STEP 2: In a medium saucepan place 3 tablespoons olive oil, minced garlic, turmeric, curry powder, cinnamon, salt and pepper and saute over medium heat for 3 minutes.



STEP 3: Pour garlic and spice mixture into the Dutch oven with vegetables in it. Add the drained garbanzo beans, almonds, one sliced zucchini, raisins and orange juice. Simmer 20 minutes, covered.



STEP 4: Add spinach to pot and cook for 5 more minutes.

Serve.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Leah Perez",8/3/05,"Dish, marrakesh veg curry, Moroccan",8/30/05,37165791,37165791,insert,FALSE,,2.2.0,Ground Cinnamon,Table Salt,Dried Ground Cayenne Pepper,,Mature Garbanzo Beans-Cnd,Blanched Whole Almonds,Zucchini Squash Slices w/Skin Ckd-Drnd,,Seedless Raisins-Packed Cup,,Chilled Orange Juice,Spinach Cooked-Drnd,,

Canola Oil,White Onion Cooked Drained Whole-Sml,Fresh Garlic Cloves,Water,"Fresh Red Tomatoes YearRndAvg Sml-2 2/5""",Table Salt,Eagle Chili Powder CON-GB,Ground Cumin Seed AST,Ground Turmeric,"Beef Rib Steak Choice 1/8""Trim-Rstd",,"PREP TIME: 15 Min

COOK TIME: 20 Min

YIELDS: 4 Servings



NOTE: This dish goes well with warm pita, raita (yogurt laced with a dash each of salt, black pepper, cumin powder and chopped green chilies), and finely sliced onion laced with lemon juice.



METHOD:



STEP 1: Heat oil in a large deep skillet over medium-high heat. Add finely chopped onion, and saute until light golden, then throw in the finely chopped garlic, and cook for 1 minute. Put in 1/4 cup of the water and chopped tomato, then season with salt, red chilli powder, cumin, and turmeric. Simmer for 1 minute.



STEP 2: Add minced beef and cook for at least 10 minutes, adding another 1/4 cup of the water when it gets dry. When the beef mixture is dry, pour in the drained, black-eyed peas. Cook for 3 minutes. Stir in the remaining 1/4 cup water, and reduce the heat to low. Cover and simmer until all the water has cooked down, and you can see the oil.



STEP 3: Remove from the heat and mix in 1/8 tsp garam masala. Transfer to a serving dish and sprinkle the lemon juice, cilantro, and green chilies over the top.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Asma

",8/3/05,"Dish, beef w/blackeyed beans, Pakistani",3/13/06,148097066,148097066,insert,FALSE,,2.2.0,Plain Mature Black Eyed Peas-Cnd,Fresh Lemon Juice,Fresh Cilantro-Leaves,,Fresh Hot Green Chile Peppers-Chpd,,,,,,,,,

Fresh Garlic Cloves,Table Salt,Paprika,Ground Cumin Seed AST,Dried Ground Cayenne Pepper,Fresh Cilantro-Leaves,Fresh Parsley-Chpd,Fresh Lemon Juice-Yield Per Fruit,Red Wine Vinegar,Olive Salad/Cooking Oil,,"PREP TIME: 40 Min

COOK TIME: 1 Hr 5 Min

YIELDS: 6 Servings



NOTE: A great vegan recipe.



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C).



STEP 2: Combine garlic, 1/2 teaspoon salt, paprika, cumin, and cayenne in a food processor bowl. Process until mixture forms a paste. Add herbs, and pulse a few times to blend. Add lemon juice, vinegar, and 2 to 3 tablespoons olive oil; blend. Season to taste with salt.



STEP 3: In a large bowl, combine 1/2 inch sliced potatoes, one each red, yellow and green peppers (red peppers cut into 1 inch pieces, yellow peppers cut into 1 1/2 inch squares,  and green peppers cut into 1 1/2 inch pieces), and celery cut into 2 inch pieces. Season with salt, and toss with herb sauce. Transfer to a large shallow baking dish. Scatter wedged tomatoes among the potato mixture. Drizzle 1 to 2 tablespoons oil over top, and cover with foil.



STEP 4: Bake for 35 minutes. Remove foil. Continue baking until vegetables are tender, 20 to 30 minutes. Serve warm.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Leah Perez

",8/4/05,"Potato, casserole, Moroccan",2/3/09,702361714,702361714,insert,FALSE,,2.2.0,"Fresh Red Potatoes w/Skin-Med2.25""-3.25""",Sweet Red Bell Peppers Chpd Ckd-Drnd,"Fresh Sweet Yellow Peppers Lrg-3.75""Long",,Sweet Green Bell Peppers Chpd Ckd-Drnd,Celery Stalk Cooked-Drnd,"Fresh Red Tomatoes YearRndAvg Med-2 3/5""",,,,,,,

Pork Tenderloin Lean-Rstd,White Onion Cooked Drained Whole-Med,Fresh Ginger Root,Fresh Garlic Cloves,Bok Choy Cabbage Cooked-Drnd,Sweet Red Bell Peppers Chpd Ckd-Drnd,Mushrooms Cooked Drained-Whole,Steamed Mature Soybean Sprouts,Japanese Sake/Saki Wine,Hoisin Sauce-rts,,"PREP TIME: 30 Min

COOK TIME: 15 Min

YIELDS: 8 Servings



METHOD:



STEP 1: Preheat oven to 325 degrees F (165 degrees C). Wrap tortillas in foil.



STEP 2: Heat a large skillet over high heat until very hot. Add pork cut into 1/4 inch thick strips, thinly sliced onion, and minced ginger and garlic; cook and stir until pork is brown and onion is tender, about 5 minutes. Mix in thinly sliced bok choy, one sliced red bell pepper, julienned mushrooms; cook and stir until bell pepper is tender-crisp, about 5 minutes. Remove pan from heat.



STEP 3: Place tortillas in oven for 8 minutes, or until warm.



STEP 4: Meanwhile, return pan to high heat source, and mix in bean sprouts, sake, and hoisin and soy sauces; cook and stir until bean sprouts are tender-crisp, about 5 minutes.



STEP 5: Remove tortillas from oven. Divide pork mixture among tortillas, and roll up. Serve immediately.



NOTE: Hoisin sauce, also called Peking sauce, is a thick, reddish-brown sauce that is sweet and spicy, and widely used in Chinese cooking.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Brian Rude",8/4/05,"Dish, mou shu pork, Chinese",8/30/05,66229834,66229834,insert,FALSE,,2.2.0,Soy Sauce-f/Soy,"Flour Tortilla rtb-7"" to 8""",,,,,,,,,,,,

Olive Salad/Cooking Oil,Beef Ground Hamburger 15%Fat-Pan Browned,Paprika,Ground Cumin Seed AST,Table Salt,Black Pepper,"Peeled Potato Cooked-2.25"" to 3.25""",Tomato Sauce-Cnd,Whole Eggs Raw-Lrg,LowFat Plain Yogurt w/12gProtein Per Cup,,"PREP TIME: 15 Min

COOK TIME: 45 Min

YIELDS: 4 Servings



NOTE: Recipe calls for 'chubritsa' (summer savory), a Bulgarian herb that can be difficult to find, so basil can be substituted.



METHOD:



STEP 1: Preheat oven to 325 degrees F. (165 degrees C).



STEP 2: Heat oil in a skillet over medium heat. Cook 1 lb raw ground beef until evenly brown. Season with paprika, cumin, salt, and pepper. Stir in potatotes cut into 1/2 inch cubes, and cook for 2 to 3 minutes. Stir in tomato sauce, and 1 tbsp summer savory (chubritsa). Add enough water to just barely cover. Reduce heat, and simmer 15 minutes.



STEP 3: Pour meat mixture into 9x13 inch baking dish, and spread evenly. In a small bowl, mix together the lightly beaten egg and yogurt; pour, and spread evenly over meat mixture.



STEP 4: Bake in preheated oven for 30 to 40 minutes, or until top is golden brown.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Lisa",8/4/05,"Dish, musaka, Greek",3/8/06,565022640,565022640,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Chicken Broil/Fry Breast w/oSkin-Rstd,Soy Sauce-f/Soy,White Rice Vinegar CBT,White Granulated Sugar,Peanut Salad/Cooking Oil,Fresh Green Onions Bulb & Tops-Med,Ramen Noodles-Ckd SVY,,,,,"YIELDS: 2 Servings



METHOD:



STEP 1: In a small bowl combine the soy sauce, vinegar,  sugar and peanut oil.



STEP 2: In a medium sized bowl toss the dressing with the diced chicken, scallions and noodles (3 oz dry noodles that have been cooked, drained and chilled). Chill and serve.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Karen",8/4/05,"Salad, chicken, Asian",8/8/05,12890607,12890607,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Chicken Broth-rts Can,Fresh Ginger Root Slices,Fresh Green Onions Bulb & Tops-Med,Fresh Sweet Red Bell Peppers-Med,Fresh Mushroom Pieces/Slices,Fresh Bamboo Shoot Slices,White Rice Vinegar CBT,Chili Pepper-pwd,Sesame Salad/Cooking Oil,,,"PREP TIME: 10 Min

COOK TIME: 30 Min

YIELDS: 8 TO 10 Servings



NOTE: 10 Servings used for nutritional analysis.



METHOD:



STEP 1: In a large cooking pot, add chicken broth, ginger root, and 1 tsp black peppercorns, and bring to a boil. Reduce heat to low and simmer uncovered for 20 minutes.



STEP 2: Strain broth, discard ginger root and peppercorns. Returned strained broth to pot. Add chopped green onions, diced red pepper, sliced mushrooms, bamboo shoots, rice wine vinegar, chili powder and sesame oil. Simmer for 10 minutes or until vegetables are just tender. Serve in soup bowls over cooked white or brown rice.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by William Anatooskin",8/4/05,"Soup, hot and sour, Chinese",2/3/09,167506035,167506035,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Rice Noodles-Dry,Salted Butter,Chicken Broil/Fry Breast w/oSkin-Rstd,Canola Oil,Whole Eggs Raw-Lrg,Distilled Vinegar,Fish Sauce-rts,White Granulated Sugar,Crushed Red Chili Pepper Flakes,Fresh Lentil Bean Sprouts,,"PREP TIME: 40 Min

COOK TIME: 20 Min

YIELDS: 6 Servings



NOTE: You can use chicken, pork, beef, tofu, or a combination. You may want to start with less pepper and work your way up.



METHOD:



STEP 1: Soak rice noodles in cold water 30 to 50 minutes, or until soft. Drain, and set aside.



STEP 2: Heat butter in a wok or large heavy skillet. Saute chicken cut into bite-sized pieces, until browned. Remove, and set aside. Heat oil in wok over medium-high heat. Crack eggs into hot oil, and cook until firm. Stir in chicken, and cook for 5 minutes. Add softened noodles, and vinegar, fish sauce, sugar and red pepper. Adjust seasonings to taste. Mix while cooking, until noodles are tender. Add bean sprouts, and mix for 3 minutes.



Garnish with crushed peanuts, chopped green onions and wedge of lemon.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by April",8/4/05,"Dish, Pad Thai",8/8/05,402547310,402547310,insert,FALSE,,2.2.0,Dry Roasted Peanuts-Unsalted,Fresh Green Onions Bulb & Tops-Med,Fresh Lemon w/Peel-Seedless,,,,,,,,,,,

Rice Noodles-Dry,Chicken Broil/Fry Leg w/oSkin-Rstd,Pork Tenderloin-Rstd,Soy Sauce-f/Soy,Black Pepper,"Cabbage Head Lrg 7"" Ckd-Drnd",Whole Carrots Cooked-Drnd,Fresh Green Onions Bulb & Tops-Med,Mixed Species Shrimp Large-Stmd,,,"PREP TIME: 10 Min

COOK TIME: 50 Min

YIELDS: 4 Servings



NOTE: Can be served with rice or alone.



METHOD:



STEP 1: Place the rice noodles in a large bowl, and cover with warm water. When soft, cut into 4 inch lengths, drain, and set aside.



STEP 2: In a skillet over medium heat, brown the chicken and pork (cut into bite-size pieces), until no pink shows. Season with soy sauce and pepper. Remove from skillet and set aside. Saute the shredded cabbage and shredded carrots until tender. Stir in the noodles, green onions and shrimp. Cook for 4 to 5 minutes, stir in the chicken and pork, and cook for 5 more minutes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Christine Myers",8/4/05,"Dish, pancit, Philippean",8/30/05,-1,-1,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Cured Pork Bacon Cooked-Med Slc,Whole Eggs Raw-Lrg,Heavy Whipping Cream,Parmesan Cheese-Grated,Enrich Spaghetti Noodles-Ckd,Salted Butter,Fresh Parsley-Chpd,Black Pepper,,,,"PREP TIME: 15 Min

COOK TIME: 15 Min

YIELDS: 8 Servings



METHOD:



